店コード	店名称（漢字）	郵便番号	住所	latitude	longitude
05402	サンエーしおざきシティ店	9010364	沖縄県糸満市潮崎町2-2	26.120675	127.664787
05403	ゼビオ月寒店	0620053	北海道札幌市豊平区月寒東三条11-1-10	43.029072	141.411086
05404	福島鎌田店	9600102	福島県福島市鎌田字一里塚11-1	37.795973	140.493386
05405	東久留米滝山店	2030033	東京都東久留米市滝山7-20-9	35.746142	139.505803
05406	西船橋北口店	2730025	千葉県船橋市印内町497-4三須ﾋﾞﾙ1F	35.705297	139.958779
05407	川越西口店	3501124	埼玉県川越市新宿町1-17-1	35.899321	139.481194
05408	平和台店	1790085	東京都練馬区早宮2-17-50	35.75213	139.654201
05409	田崎店	8600068	熊本県熊本市西区上代2-1-7	32.779459	130.666033
05410	武蔵中原店	2110053	神奈川県川崎市中原区上小田中6-19-6	35.585135	139.6391
05411	亀戸店	1360071	東京都江東区亀戸5-15-4	35.698907	139.829848
05412	ビアレ横浜並木店	2360005	神奈川県横浜市金沢区並木2-13-7	35.365081	139.639822
05414	市川南店	2720033	千葉県市川市市川南1-3-7	35.72583	139.904408
05415	いわき湯本店	9728312	福島県いわき市常磐下船尾町古内289-4	36.990499	140.87302
05416	高円寺パル店	1660003	東京都杉並区高円寺南3-45-15ﾚｾﾞﾙ高円寺1階	35.701795	139.653602
05417	春光ロック店	0700871	北海道旭川市春光一条7-1-5	43.799328	142.377613
05418	福知山東野パーク店	6200807	京都府福知山市字土東野町1117-594	35.2969955	135.1648649
05419	ＪＲ香椎駅前店	8130013	福岡県福岡市東区香椎駅前1-13-2	33.661352	130.4417
05420	キセラ川西店	6660017	兵庫県川西市火打1-11-33	34.83594	135.41515
05421	彦根日夏店	5220047	滋賀県彦根市日夏町3685-1	35.237128	136.216562
05422	アルプラザ長浜店	5260845	滋賀県長浜市小堀町450ｱﾙﾌﾟﾗｻﾞ長浜1階	35.387174	136.287731
05423	大津堅田店	5200241	滋賀県大津市今堅田2-13-29	35.123017	135.924945
05424	グラン８モール八街店	2891107	千葉県八街市八街は11-1	35.6981886	140.3043939
05425	住吉店	1350002	東京都江東区住吉2-23-11精進ﾋﾞﾙ	35.688195	139.813653
05426	ヨークフーズ中浦和店	3380832	埼玉県さいたま市桜区西堀4-3-23	35.856057	139.628968
05427	稲毛山王町店	2630002	千葉県千葉市稲毛区山王町310-1	35.662509	140.141317
05428	鳳西町店	5938326	大阪府堺市西区鳳西町2-18-3	34.52947	135.450945
